Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x79bd2c5fca8a367eb0b653d5c6ceda1de8ec27f121acf94894dab5de95bbff67,2025-06-24T14:57:35.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.0002721173467062
0x4b7a2367ad65af93c364e17143e09a879391a0e888c314a853cd0ba561bb5252,2025-06-24T15:31:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xbad7da01bf2b610a7be39e6b5eee97eec26b1320,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,3888.215,0.00027487910790616
0x4b7a2367ad65af93c364e17143e09a879391a0e888c314a853cd0ba561bb5252,2025-06-24T15:31:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.00027487910790616
0x26c0ac69338b36bbb2a63215093707dec047f3b0cd56be9042e1ce93d2a77d2a,2025-07-27T16:48:47.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,47.222933,0.00006184279486836
0x26c0ac69338b36bbb2a63215093707dec047f3b0cd56be9042e1ce93d2a77d2a,2025-07-27T16:48:47.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.00006184279486836
0x7d5e8f4f8e144463df5ef3ce354e57d261274eb4bc56d5e3ac2cfba9aeb689bf,2025-08-11T09:57:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0x932c4d97bbcf528c1e99f01057882f3fe379cdae,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,5,0.000037360622887136
0x7d5e8f4f8e144463df5ef3ce354e57d261274eb4bc56d5e3ac2cfba9aeb689bf,2025-08-11T09:57:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.000037360622887136
0x8a9f67b8ecd47a8ad4ae543886fcef3ead7d85f33fc2fa5d3de87b2fbf74116e,2025-08-11T10:08:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0x932c4d97bbcf528c1e99f01057882f3fe379cdae,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,450,0.00003781987035624
0x8a9f67b8ecd47a8ad4ae543886fcef3ead7d85f33fc2fa5d3de87b2fbf74116e,2025-08-11T10:08:23.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.00003781987035624
0xd58728d2603768ecb8823619d3cd6e2d0f1daa3f3073f9fe0beb9adc79170781,2025-08-24T15:11:35.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,31.410961,0.00005560646250176
